Col1,Col2,Col3,Col4
NA,NA,NA,
Metadata,Structured content,Descriptive,"helps using the data e.g., abstract, author, location…"
Metadata,Structured content,Structural,"Links objects in the study e.g., articles linked to data"
Metadata,Structured content,Technical,"e.g., hardware and software specs"
Metadata,Structured content,Administrative,"e.g., in a repository"
Metadata,Type of application,Spreadsheets,"e.g., csv, excel"
Metadata,Type of application,File headers,"e.g., HDF5, TIFF, MP3"
Metadata,Type of application,Sidecar files,"XML, JSON, YAML"
Metadata,Type of application,Database columns,"e.g., in reference managers"
